FAIL lock
FAIL lock
FAIL matches
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
FAIL lock
         136832 function calls (134769 primitive calls) in 70.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
       26    0.000    0.000    0.001    0.000 core.py:6369(__init__)
        2    0.000    0.000    0.001    0.000 enum.py:532(_convert)
        4    0.000    0.000    0.001    0.000 enum.py:88(__new__)
       26    0.000    0.000    0.001    0.000 core.py:6374(getdoc)
        6    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
      520    0.000    0.000    0.000    0.000 sre_parse.py:247(get)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
        2    0.000    0.000    0.000    0.000 enum.py:215(__call__)
      294    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 enum.py:314(_create_)
      236    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       86    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      904    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:1(<module>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
      653    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       44    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00000000572ADE40}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
     1983    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
      138    0.000    0.000    0.000    0.000 {built-in method builtins.any}
   107/57    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
       26    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
       19    0.000    0.000    0.000    0.000 ntpath.py:237(dirname)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1043(__import__)
       19    0.000    0.000    0.000    0.000 ntpath.py:197(split)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      238    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
       13    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
        9    0.000    0.000    0.000    0.000 extras.py:236(__init__)
    72/59    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       86    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        9    0.000    0.000    0.000    0.000 extras.py:240(getdoc)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
     11/6    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       82    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 pathlib.py:366(_NormalAccessor)
     1510    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      118    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
